S_No,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,Last
48,DENIED,RANCHO LA PUERTA LLC,CHIEF EXECUTIVES,PRESIDENT,Y,197683.2,2016,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
49,CERTIFIED,"STRATEGISM, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,155459.2,2016,"FREMONT, CALIFORNIA",-121.9885719,37.5482697
50,CERTIFIED,RANCHO LA PUERTA LLC,CHIEF EXECUTIVES,PRESIDENT,Y,197683.2,2016,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
51,CERTIFIED,SPRING BRANCH COMMUNITY HEALTH CENTER,CHIEF EXECUTIVES,CHIEF MEDICAL OFFICER,Y,187200,2016,"KATY, TEXAS",-95.8243956,29.7857853
52,CERTIFIED,SPRING BRANCH COMMUNITY HEALTH CENTER,CHIEF EXECUTIVES,CHIEF MEDICAL OFFICER,Y,187200,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
53,CERTIFIED,"PAXTERRA SOLUTIONS, INC.",CHIEF EXECUTIVES,"ASSISTANT VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,102190,2016,"JOHNS CREEK, GEORGIA",-84.198579,34.0289259
54,CERTIFIED,"PARALLELS, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200,2016,"RENTON, WASHINGTON",-122.2170661,47.4828776
55,CERTIFIED,VARIANTYX INC.,CHIEF EXECUTIVES,CHIEF INFORMATION OFFICER,Y,164403,2016,"ASHLAND, MASSACHUSETTS",NA,NA
56,CERTIFIED,NATURAL AMERICAN FOODS INC.,CHIEF EXECUTIVES,VICE PRESIDENT OF QUALITY,Y,145829,2016,"ONSTED, MICHIGAN",NA,NA
57,CERTIFIED,"STRATEGISM, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,155459.2,2016,"FREMONT, CALIFORNIA",-121.9885719,37.5482697
58,CERTIFIED,NATURAL AMERICAN FOODS INC.,CHIEF EXECUTIVES,VICE PRESIDENT OF QUALITY,Y,145829,2016,"ONSTED, MICHIGAN",NA,NA
59,CERTIFIED,"PRONTO GENERAL AGENCY, LTD.",CHIEF EXECUTIVES,PRESIDENT,Y,161179,2016,"BROWNSVILLE, TEXAS",-97.4974838,25.9017472
60,CERTIFIED,CENTRAL OCEANS USA LLC,CHIEF EXECUTIVES,PRESIDENT & CHIEF EXECUTIVE OFFICER,Y,187075,2016,"CHARLOTTESVILLE, VIRGINIA",-78.4766781,38.0293059
61,CERTIFIED-WITHDRAWN,"AMPED, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
62,CERTIFIED,"SENSORHOUND, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER AND RESEARCH SCIENTIST,Y,76752,2016,"WEST LAFAYETTE, INDIANA",-86.9080655,40.4258686
63,CERTIFIED,"UNDER ARMOUR, INC.",CHIEF EXECUTIVES,"SR. DIRECTOR, BUSINESS PERFORMANCE MANAGEMENT",Y,137966,2016,"BALTIMORE, MARYLAND",-76.6121893,39.2903848
64,CERTIFIED,MAX PLANCK FLORIDA CORPORATION,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200,2016,"JUPITER, FLORIDA",-80.0942087,26.9342246
65,CERTIFIED,MAX PLANCK FLORIDA CORPORATION,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,226616,2016,"JUPITER, FLORIDA",-80.0942087,26.9342246
66,CERTIFIED,"FISERV AUTOMOTIVE SOLUTIONS, INC.",CHIEF EXECUTIVES,"PRESIDENT, LENDING SOLUTIONS",Y,221541,2016,"LAKE MARY, FLORIDA",-81.3178446,28.7588833
67,CERTIFIED,"HBN MEDIA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,198266,2016,"MARIETTA, GEORGIA",-84.5499327,33.952602
68,CERTIFIED,ADVENTIST HEALTH SYSTEM SUNBELT,CHIEF EXECUTIVES,REGIONAL CHIEF MEDICAL INFORMATION OFFICER,Y,221541,2016,"ALTAMONTE SPRINGS, FLORIDA",-81.3656242,28.6611089
69,CERTIFIED,CENTRAL OCEANS USA LLC,CHIEF EXECUTIVES,PRESIDENT &AMP; CHIEF EXECUTIVE OFFICER,Y,187075,2016,"CHARLOTTESVILLE, VIRGINIA",-78.4766781,38.0293059
70,WITHDRAWN,SANTA ROSA MEMORIAL HOSPITAL,CHIEF EXECUTIVES,CHIEF MEDICAL INFORMATICS OFFICER,Y,234457.6,2016,"SANTA ROSA, CALIFORNIA",-122.7140548,38.440429
71,CERTIFIED,"MAP HEALTH MANAGEMENT , LLC",CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,202634,2016,"MECHANICSBURG, PENNSYLVANIA",-77.0085876,40.2142565
72,CERTIFIED,SANTA ROSA MEMORIAL HOSPITAL,CHIEF EXECUTIVES,CHIEF MEDICAL INFORMATION OFFICER,Y,234457.6,2016,"SANTA ROSA, CALIFORNIA",-122.7140548,38.440429
73,CERTIFIED,BENEFUEL INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200,2016,"IRVING, TEXAS",-96.9488945,32.8140177
74,CERTIFIED,RIVIAN AUTOMOTIVE LLC,CHIEF EXECUTIVES,CHIEF STRATEGY OFFICER,Y,194875,2016,"LIVONIA, MICHIGAN",-83.3527097,42.36837
75,CERTIFIED,UNIVERSITY AT ALBANY,CHIEF EXECUTIVES,DIRECTOR,Y,75293,2016,"ALBANY, NEW YORK",-73.7562317,42.6525793
76,CERTIFIED,ARICENT US INC.,CHIEF EXECUTIVES,"PRESIDENT, COMMUNICATIONS",Y,253448,2016,"NAPLES, FLORIDA",-81.7948103,26.1420358
77,WITHDRAWN,UNIVERSAL CITY STUDIOS PRODUCTION LLLP,CHIEF EXECUTIVES,"SENIOR DIRECTOR, RIDE AND SHOW",Y,178942,2016,"ORLANDO, FLORIDA",-81.3792365,28.5383355
78,CERTIFIED,"ALWAYS BELIEVE PLUS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,106246.4,2016,"OAKLAND, CALIFORNIA",-122.2711137,37.8043637
79,CERTIFIED,"ZEETOGROUP, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER (CEO),Y,246522,2016,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
80,WITHDRAWN,HARIBOO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT),Y,159369.6,2016,"HIALEAH, FLORIDA",-80.2781057,25.8575963
81,CERTIFIED,HARIBOO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT,Y,159369.6,2016,"HIALEAH, FLORIDA",-80.2781057,25.8575963
82,WITHDRAWN,"OAK STREET HEALTH MSO, LLC",CHIEF EXECUTIVES,CHIEF INNOVATION OFFICER & SENIOR VP OF CLINICAL SYSTEMS,Y,178776,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
83,CERTIFIED,"OAK STREET HEALTH MSO, LLC",CHIEF EXECUTIVES,CHIEF INNOVATION OFFICER & SENIOR VP OF CLINICAL SYSTEMS,Y,178776,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
84,CERTIFIED,TOTAL CIVIL CONSTRUCTION & ENGINEERING LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,103480,2016,"LANHAM, MARYLAND",-76.8620327,38.9685112
85,CERTIFIED,FYBR LLC,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,151507,2016,"CHESTERFIELD, MISSOURI",-90.5770675,38.6631083
86,CERTIFIED,TOTAL CIVIL CONSTRUCTION & ENGINEERING LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,103480,2016,"LANHAM, MARYLAND",-76.8620327,38.9685112
87,CERTIFIED,"GREENLAM AMERICA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370,2016,"DORAL, FLORIDA",-80.3553302,25.8195424
88,CERTIFIED,UNIVERSAL CITY STUDIOS PRODUCTION LLLP,CHIEF EXECUTIVES,"SENIOR DIRECTOR, RIDE AND SHOW",Y,178942,2016,"ORLANDO, FLORIDA",-81.3792365,28.5383355
89,CERTIFIED,CLARKE CAPITAL PARTNERS LLC,CHIEF EXECUTIVES,MANAGING DIRECTOR - TECHNOLOGY,Y,159370,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
90,CERTIFIED,"RINA SYSTEMS, LLC",CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,155958,2016,"CINCINNATI, OHIO",-84.5120196,39.1031182
91,CERTIFIED,ZYKA FOODS INC.,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,117998,2016,"CARSON, CALIFORNIA",-118.281693,33.8316745
92,DENIED,EAGLE MINE LLC,CHIEF EXECUTIVES,GENERAL MANAGER,Y,116334,2016,"CHAMPION, MICHIGAN",NA,NA
93,CERTIFIED,EAGLE MINE LLC,CHIEF EXECUTIVES,GENERAL MANAGER,Y,116334,2016,"CHAMPION, MICHIGAN",NA,NA
94,CERTIFIED,"CALIFORNIA MASTERPLANT, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,85051,2016,"TRACY, CALIFORNIA",-121.4252227,37.7396513
95,CERTIFIED,HARBAR LLC,CHIEF EXECUTIVES,CFO & VP BUSINESS DEVELOPMENT,Y,254821,2016,"CANTON, MASSACHUSETTS",-71.1447732,42.1584324
96,DENIED,BAKER & MCKENZIE PC,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
97,CERTIFIED,"ARUZE GAMING AMERICA, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF CORPORATE STRATEGY,Y,82514,2016,"LAS VEGAS, NEVADA",-115.1398296,36.1699412
98,CERTIFIED,SD MANAGEMENT GROUP LLC,CHIEF EXECUTIVES,CHIEF SUSTAINABILITY OFFICER,N,17264,2016,"CHARLOTTESVILLE, VIRGINIA",-78.4766781,38.0293059
99,DENIED,"MANITOWOC FSG OPERATIONS, LLC",CHIEF EXECUTIVES,VP DIGITAL STRATEGY,Y,202363,2016,"NEW PORT RICHEY, FLORIDA",-82.7192671,28.2441768
100,CERTIFIED,"BON WORTH, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,125424,2016,"HENDERSONVILLE, NORTH CAROLINA",NA,NA
101,CERTIFIED,"ASHLEY HOMESTORES, LTD.",CHIEF EXECUTIVES,"EXECUTIVE VICE PRESIDENT, BRAND DEVELOPMENT",Y,158038,2016,"BRANDON, FLORIDA",-82.2859247,27.937801
102,CERTIFIED,"BARFRESH, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,164050,2016,"BEVERLY HILLS, CALIFORNIA",-118.4003563,34.0736204
103,CERTIFIED,ROBERTSON FOUNDATION,CHIEF EXECUTIVES,PRESIDENT AND CHIEF EXECUTIVE OFFICER,Y,233418,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
104,CERTIFIED,KIS USA LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,163966,2016,"PEMBROKE PINES, FLORIDA",-80.2962555,26.007765
105,CERTIFIED,ONMOBILE USA LLC,CHIEF EXECUTIVES,SENIOR VP - GLOBAL CONTENT AND MULTI-MEDIA STRATEGY,Y,210122,2016,"SANTA MONICA, CALIFORNIA",-118.4911912,34.0194543
106,WITHDRAWN,BAKER & MCKENZIE PC,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
107,CERTIFIED,BAKER & MCKENZIE PC,CHIEF EXECUTIVES,PRINCIPAL (ATTORNEY) AND CHAIRMAN OF THE EXECUTIVE COMMITTEE,Y,226699,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
108,CERTIFIED,"CORO INVESTMENTS, LP",CHIEF EXECUTIVES,"VICE PRESIDENT, USA OPERATIONS",Y,103480,2016,"RESTON, VIRGINIA",-77.3570028,38.9586307
109,CERTIFIED,"AMERICAN REFINING GROUP, INC.",CHIEF EXECUTIVES,SENIOR VICE PRESIDENT OF OPERATIONS,Y,202738,2016,"BRADFORD, PENNSYLVANIA",NA,NA
110,CERTIFIED-WITHDRAWN,MARY HITCHCOCK MEMORIAL HOSPITAL,CHIEF EXECUTIVES,VICE PRESIDENT OF FINANCE - INTEGRATED DELIVERY SYSTEM,Y,212618,2016,"LEBANON, NEW HAMPSHIRE",-72.2517569,43.6422934
111,DENIED,TMS PLUMBING AND HEATING CORP,CHIEF EXECUTIVES,OPERATIONS DIRECTOR,Y,74276.8,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
112,CERTIFIED,"NEWLINK COMMUNICATIONS GROUP, LLC",CHIEF EXECUTIVES,VICE PRESIDENT OF BUSINESS DEVELOPMENT,Y,113090,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
113,DENIED,BENYOUCEF LLC,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,72800,2016,"BATON ROUGE, LOUISIANA",-91.1403196,30.4582829
114,CERTIFIED,99TH AVENUE HOLDINGS LLC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OF FITNESS MANAGEMENT,Y,187200,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
115,CERTIFIED,"ASTELLAS PHARMA US, INC.",CHIEF EXECUTIVES,"EXECUTIVE DIRECTOR, INTERNATIONAL BUSINESS",Y,226699,2016,"NORTHBROOK, ILLINOIS",-87.8289548,42.1275267
116,CERTIFIED,STRYKER CORPORATION,CHIEF EXECUTIVES,"VP, GLOBAL IT GOVERNANCE & PERFORMANCE MEASUREMENT",Y,189862,2016,"KALAMAZOO, MICHIGAN",-85.5872286,42.2917069
117,CERTIFIED-WITHDRAWN,"MANITOWOC FSG OPERATIONS, LLC",CHIEF EXECUTIVES,VP DIGITAL STRATEGY,Y,202363,2016,"NEW PORT RICHEY, FLORIDA",-82.7192671,28.2441768
118,CERTIFIED,NORTHWELL HEALTH,CHIEF EXECUTIVES,VP INTERNATIONAL BUSINESS DEVELOPMENT,Y,252429,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
119,CERTIFIED,HARIBO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT),Y,159369.6,2016,"HIALEAH, FLORIDA",-80.2781057,25.8575963
120,CERTIFIED,UGAM SOLUTIONS SEZ PVT. LTD,CHIEF EXECUTIVES,ASSISTANT VICE PRESIDENT,Y,102190,2016,"ATLANTA, GEORGIA",-84.3879824,33.7489954
121,CERTIFIED,"PREVEIL, LLC",CHIEF EXECUTIVES,CHIEF TECHNICAL OFFICER,Y,155459.2,2016,"BERKELEY, CALIFORNIA",-122.272747,37.8715926
122,CERTIFIED,AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,CHIEF EXECUTIVES,CHIEF OF STAFF,Y,195728,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
123,CERTIFIED,FARADAY&FUTURE INC,CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,256173,2016,"GARDENA, CALIFORNIA",-118.3089624,33.8883487
124,CERTIFIED,MILK SPECIALTIES GLOBAL,CHIEF EXECUTIVES,"VICE PRESIDENT, INTERNATIONAL SALES, HUMAN NUTRITION",Y,146300,2016,"EDEN PRAIRIE, MINNESOTA",-93.470786,44.8546856
125,DENIED,MILK SPECIALTIES GLOBAL,CHIEF EXECUTIVES,"VICE PRESIDENT, INTERNATIONAL SALES, HUMAN NUTRITION",Y,146300,2016,"EDEN PRAIRIE, MINNESOTA",-93.470786,44.8546856
126,CERTIFIED-WITHDRAWN,"HARGRAY COMMUNICATIONS GROUP, INC.",CHIEF EXECUTIVES,"SR. VICE PRESIDENT, TECHNOLOGY & OPERATIONS",Y,145122,2016,"HILTON HEAD ISLAND, SOUTH CAROLINA",-80.752608,32.216316
127,CERTIFIED,DIAMONDS DIRECT USA INC,CHIEF EXECUTIVES,PRESIDENT/CEO,Y,187200,2016,"CHARLOTTE, NORTH CAROLINA",-80.8431267,35.2270869
128,CERTIFIED,"NATURAL POWER AND ENERGY, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,213200,2016,"SCOTTSDALE, ARIZONA",-111.9260519,33.4941704
129,CERTIFIED,"PREVEIL, LLC",CHIEF EXECUTIVES,CHIEF TECHNICAL OFFICER,Y,155459.2,2016,"BERKELEY, CALIFORNIA",-122.272747,37.8715926
130,CERTIFIED,RIGHTSIDE OPERATING CO,CHIEF EXECUTIVES,"ELECTRICAL ENGINEER, CHIEF TECHNOLOGY OFFICER",Y,229133,2016,"KIRKLAND, WASHINGTON",-122.2059833,47.6768927
131,CERTIFIED,ENGINE CONTROL SYSTEMS LIMITED,CHIEF EXECUTIVES,VICE PRESIDENT OF RESEARCH AND ENGINEERING,Y,106933,2016,"OXNARD, CALIFORNIA",-119.1770516,34.1975048
132,CERTIFIED,"SHIRE PHARMACEUTICALS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,254821,2016,"LEXINGTON, MASSACHUSETTS",-71.2289641,42.4430372
133,CERTIFIED-WITHDRAWN,TI GROUP AUTOMOTIVE SYSTEMS L.L.C.,CHIEF EXECUTIVES,DIRECTOR INVESTOR RELATIONS,Y,191090,2016,"AUBURN HILLS, MICHIGAN",-83.2341028,42.6875323
